trip_id;start_latitude;start_longitude;zone_start;date;start_trip_hour
2Hire:3431871;-12.12818146;-76.98417664;Zona I;02/12/2019;19
2Hire:3456120;-12.11804771;-76.98800659;Zona I;04/12/2019;20
2Hire:3456115;-12.11826992;-76.98831177;Zona I;04/12/2019;20
2Hire:3468056;-12.10895443;-76.98856354;;05/12/2019;18
2Hire:3428082;-12.12846947;-76.9930191;;02/12/2019;14
2Hire:3454655;-12.11761093;-76.99850464;Zona F;04/12/2019;18
2Hire:3455977;-12.12496567;-76.99972534;Zona F;04/12/2019;20
2Hire:3444850;-12.12630272;-76.99983215;Zona I;03/12/2019;20
2Hire:3468091;-12.11159706;-77.00086975;Zona F;05/12/2019;18
2Hire:3467651;-12.12819862;-77.00102997;Zona F;05/12/2019;18
2Hire:3424042;-12.11158466;-77.0013504;Zona F;02/12/2019;9
2Hire:3432707;-12.12857723;-77.0016098;Zona F;02/12/2019;21
2Hire:3458535;-12.12858963;-77.00169373;Zona F;05/12/2019;7
2Hire:3458752;-12.12864304;-77.00170135;Zona F;05/12/2019;8
2Hire:3468399;-12.12967491;-77.00171661;Zona F;05/12/2019;19
2Hire:3430811;-12.12770939;-77.00177765;Zona F;02/12/2019;18
2Hire:3463997;-12.1180172;-77.00179291;Zona F;05/12/2019;14
2Hire:3437436;-12.12895298;-77.00179291;Zona F;03/12/2019;10
2Hire:3432948;-12.13048267;-77.00196075;Zona F;02/12/2019;23
2Hire:3455775;-12.10128117;-77.00223541;;04/12/2019;19
2Hire:3463122;-12.11737728;-77.00247192;Zona F;05/12/2019;13
2Hire:3432848;-12.12616444;-77.00273895;Zona F;02/12/2019;22
2Hire:3455488;-12.09870625;-77.00283813;;04/12/2019;19
2Hire:3444772;-12.12670135;-77.00285339;Zona F;03/12/2019;20
2Hire:3468148;-12.11186981;-77.00326538;Zona F;05/12/2019;18
2Hire:3429986;-12.12532902;-77.0033493;Zona F;02/12/2019;17
2Hire:3467387;-12.12598228;-77.00341034;Zona F;05/12/2019;18
2Hire:3460138;-12.12738323;-77.00343323;Zona F;05/12/2019;9
2Hire:3469665;-12.12744331;-77.00344849;Zona F;05/12/2019;21
2Hire:3467895;-12.12746334;-77.00344849;Zona F;05/12/2019;18
2Hire:3436902;-12.12887955;-77.00349426;Zona F;03/12/2019;9
2Hire:3466661;-12.12878036;-77.00352478;Zona F;05/12/2019;17
2Hire:3437277;-12.12886238;-77.00353241;Zona F;03/12/2019;10
2Hire:3456035;-12.12876606;-77.00353241;Zona F;04/12/2019;20
2Hire:3432859;-12.1288271;-77.00353241;Zona F;02/12/2019;22
2Hire:3429024;-12.12867641;-77.00354004;Zona F;02/12/2019;15
2Hire:3447862;-12.1287241;-77.0035553;Zona F;04/12/2019;9
2Hire:3435041;-12.12871456;-77.00357056;Zona F;03/12/2019;7
